Label,Herbivory,Isopod,L0,M0,W0,N0,S0,H0,G0,P0,D0,L150,M150,W150,N150,S150,H150,G150,P150,D150,L,M,W,N,S,H,G,P,D,L15,M15,W15,N15,S15,H15,G15,P15,D15
1,0,1,184.2047013,34.00573437,1.878439495,7.240146494,3867.759152,0.306847186,0.138719956,0.445567142,0,1.667835886,0.124765511,0.00689457,0.02652522,0.014223242,0.001118163,0.000506041,0.001624204,0,9.583245056,33.33174699,1.878439495,5.479199742,3867.759152,153.7784812,49.27612777,203.054609,0,0.050170364,0.12534232,0.007245751,0.020354068,14.49542761,0.580087341,0.192011271,0.772098613,0
1,1,1,233.9671576,33.80073364,1.011639424,5.648859381,3354.311744,0.089828321,0.133289858,0.223118179,0,1.820863732,0.124013373,0.003713092,0.020695332,0.012335098,0.000327338,0.000486232,0.00081357,0,6.450161184,29.14577987,1.011639424,4.383734351,3354.311744,90.88964339,97.88797349,188.7776169,0,0.034802884,0.109070035,0.003961102,0.016246792,12.49840205,0.3496971,0.419447496,0.769144596,0
1,1,0,233.9671576,35.27884742,0.220847207,6.210447587,3356.995984,0.103342316,4.235057766,4.338400082,0,1.820863732,0.129436506,0.000810591,0.022752784,0.012344969,0.000376583,0.01544919,0.015825773,0,18.20890747,28.97051023,0.220847207,3.804945628,3356.995984,6.784314787,287.3522112,294.136526,0,0.122254885,0.109225519,0,0.014147738,12.71841198,0.028288369,1.160277288,1.188565657,0
1,1,0,233.9671576,52.58980682,0.563384408,6.966283581,3527.485808,0.099367612,7.341146696,7.440514308,0,1.820863732,0.192949638,0.00206783,0.025521887,0.012971925,0.000362099,0.026779982,0.027142081,0,30.1856646,31.92738495,0.563384408,5.817187135,3527.485808,3.373645718,177.1106815,180.4843272,0,0.201950217,0.120868149,0.002133585,0.021569976,13.27883878,0.013526315,0.684881281,0.698407596,0
1,0,1,184.2047013,32.42511744,1.220019892,4.925953278,3736.600208,0.256368439,26.65998012,26.91634856,0,1.667835886,0.118966299,0.004477926,0.018046871,0.01374092,0.000934216,0.097253714,0.09818793,0,9.281786059,28.4469778,1.220019892,4.599405508,3736.600208,2.209992278,204.0918879,206.3018802,0,0.078263323,0.108750878,0.005411455,0.017084464,14.11496781,0.008617365,0.864237017,0.872854381,0
1,1,1,233.9671576,39.95606199,2.9775062,4.200045253,2929.764656,0.464245483,5.319633666,5.783879148,0,1.820863732,0.146596996,0.010928553,0.015387413,0.010773874,0.001691728,0.019405646,0.021097374,0,25.85743536,27.71058197,2.9775062,2.896714472,2929.764656,17.785845,64.41967135,82.20551636,0,0.159140066,0.104365761,0.013473331,0.010799099,10.94314447,0.069524784,0.260989074,0.330513858,0
1,0,0,184.2047013,30.5305035,1.105958664,4.033148884,3372.648592,0.618464017,1.232054183,1.8505182,0,1.667835886,0.112015045,0.004059279,0.014775966,0.012402529,0.002253707,0.004494446,0.006748153,0,18.29154175,28.15219329,1.105958664,4.218455373,3372.648592,69.17332998,105.8369337,175.0102637,0,0.126921901,0.105446725,0.004444464,0.015736227,12.6091507,0.264858481,0.423943242,0.688801723,0
0,0,0,153.8192427,27.64951506,0.110423603,3.839947482,2206.371232,0.274254609,0.130736345,0.404990954,0,0.587778825,0.101444828,0.000405296,0.014068148,0.008113678,0.000999394,0.000476917,0.001476311,0,4.02036228,27.63335273,0.110423603,3.236756795,2206.371232,137.8347935,69.16913674,207.0039302,0,0.014781254,0.101350442,0.000410713,0.011854303,8.109614827,0.503826462,0.253800417,0.757626879,0
0,1,0,213.8014781,0.752685714,0,8.077493611,3194.799536,0.631978012,0.581344921,1.213322932,0,0.799047276,0.00276157,0,0.02959295,0.01174851,0.002302952,0.002120705,0.004423657,0,1.659325332,27.93020668,0,3.449806891,3194.799536,141.8809087,83.49724175,225.3781505,0,0.006074099,0.102454001,0,0.012635007,11.7413721,0.519307236,0.306043751,0.825350987,0
0,0,1,153.8192427,38.11808687,1.45819869,5.545725977,2400.220352,0.469810069,0.086765756,0.556575825,0,0.587778825,0.139853548,0.00535213,0.020317489,0.008826536,0.001712006,0.000316515,0.002028521,0,13.46861295,27.30702701,1.45819869,4.491929905,2400.220352,167.072114,20.99838279,188.0704968,0,0.049848134,0.100378511,0.005423398,0.016496845,8.830316827,0.611723322,0.077241594,0.688964916,0
0,1,1,213.8014781,45.67402587,0,6.160215465,3378.944096,0.275844491,0.116967665,0.392812155,0,0.799047276,0.167575948,0,0.022568752,0.01242568,0.001005188,0.00042669,0.001431878,0,3.354393862,31.94222602,0,5.319077645,3378.944096,139.3732891,77.48711222,216.8604014,0,0.012263975,0.117151978,0,0.019479684,12.41815605,0.509679289,0.283788369,0.793467658,0
1,1,1,233.9671576,34.81225667,1.505888581,6.314187809,4641.15064,0.213839101,5.623553903,5.837393004,0,1.820863732,0.127724605,0.00552717,0.02313285,0.0170673,0.000779238,0.020514325,0.021293563,0,1.99343924,36.23811313,1.505888581,4.675633844,4641.15064,12.29122174,316.2598867,328.5511085,0,0.007951953,0.136538364,0.006221889,0.017538665,17.30317439,0.048993238,1.271692513,1.320685751,0
1,0,1,184.2047013,45.26094698,2.536628858,7.343828927,3312.006128,0.483721535,4.172114528,4.655836063,0,1.667835886,0.166060381,0.00931037,0.026905074,0.012179523,0.0017627,0.015219577,0.016982277,0,16.95689109,33.51015456,2.536628858,3.336801676,3312.006128,0,204.238413,204.238413,0,0.078635188,0.125776838,0.01052883,0.012446847,12.33470753,0,0.809230209,0.809230209,0
1,0,0,184.2047013,31.95144138,0.33127081,5.506329981,3943.822112,0.483721535,0.072886332,0.556607867,0,1.667835886,0.117228403,0.001215887,0.020173157,0.014502954,0.0017627,0.000265884,0.002028584,0,10.52096065,30.06723459,0.33127081,3.8431036,3943.822112,230.4571162,29.26494683,259.722063,0,0.05691243,0.112619365,0.001460205,0.014311676,14.7660165,0.868508366,0.125270532,0.993778898,0
1,1,0,233.9671576,28.52129367,1.987007192,5.671717781,3188.145184,0.274652079,0.12384492,0.398497,0,1.820863732,0.104643345,0.007293054,0.020779077,0.011724039,0.001000843,0.000451777,0.00145262,0,0.447882404,29.28298754,1.987007192,2.426950092,3188.145184,69.99912833,38.21956499,108.2186933,0,0.001687256,0.108689688,0.00738204,0.008964462,11.82549701,0.278520164,0.17322606,0.451746224,0
